yourlist:M202107026320BA52A5CE8FCD097CB85A53697A350ADA8BD	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Sdr39u1	Q9NRG7	D39U1_HUMAN	reviewed	Epimerase family protein SDR39U1 (EC 1.1.1.-) (Short-chain dehydrogenase/reductase family 39U member 1)	SDR39U1 C14orf124 HCDI	Homo sapiens (Human)	293
Gad2	Q05329	DCE2_HUMAN	reviewed	Glutamate decarboxylase 2 (EC 4.1.1.15) (65 kDa glutamic acid decarboxylase) (GAD-65) (Glutamate decarboxylase 65 kDa isoform)	GAD2 GAD65	Homo sapiens (Human)	585
Daglb	Q8NCG7	DGLB_HUMAN	reviewed	Diacylglycerol lipase-beta (DAGL-beta) (DGL-beta) (EC 3.1.1.-) (KCCR13L) (PUFA-specific triacylglycerol lipase) (EC 3.1.1.3) (Sn1-specific diacylglycerol lipase beta)	DAGLB	Homo sapiens (Human)	672
Hsd17b4	P51659	DHB4_HUMAN	reviewed	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) (Short chain dehydrogenase/reductase family 8C member 1) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]	HSD17B4 EDH17B4 SDR8C1	Homo sapiens (Human)	736
Dnajb13	P59910	DJB13_HUMAN	reviewed	DnaJ homolog subfamily B member 13 (Testis and spermatogenesis cell-related protein 6) (Testis spermatocyte apoptosis-related gene 6 protein) (Testis spermatogenesis apoptosis-related gene 3 protein) (Testis spermatogenesis apoptosis-related gene 6 protein)	DNAJB13 TSARG3 TSARG6	Homo sapiens (Human)	316
Dnajb1	P25685	DNJB1_HUMAN	reviewed	DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1)	DNAJB1 DNAJ1 HDJ1 HSPF1	Homo sapiens (Human)	340
Efhd2	Q96C19	EFHD2_HUMAN	reviewed	EF-hand domain-containing protein D2 (Swiprosin-1)	EFHD2 SWS1	Homo sapiens (Human)	240
Smdt1	Q9H4I9	EMRE_HUMAN	reviewed	Essential MCU regulator, mitochondrial (Single-pass membrane protein with aspartate-rich tail 1, mitochondrial)	SMDT1 C22orf32 EMRE	Homo sapiens (Human)	107
Eps15	P42566	EPS15_HUMAN	reviewed	Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p)	EPS15 AF1P	Homo sapiens (Human)	896
Etfa	P13804	ETFA_HUMAN	reviewed	Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)	ETFA	Homo sapiens (Human)	333
Fam175b	Q15018	ABRX2_HUMAN	reviewed	BRISC complex subunit Abraxas 2 (Abraxas brother protein 1) (Protein FAM175B)	ABRAXAS2 ABRO1 FAM175B KIAA0157	Homo sapiens (Human)	415
Fam63a	Q8N5J2	MINY1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase MINDY-1 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-1) (Protein FAM63A)	MINDY1 FAM63A KIAA1390	Homo sapiens (Human)	469
Fah	P16930	FAAA_HUMAN	reviewed	Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)	FAH	Homo sapiens (Human)	419
Fbxo22	Q8NEZ5	FBX22_HUMAN	reviewed	F-box only protein 22 (F-box protein FBX22p44)	FBXO22 FBX22	Homo sapiens (Human)	403
Fga	P02671	FIBA_HUMAN	reviewed	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	FGA	Homo sapiens (Human)	866
Fkbp3	Q00688	FKBP3_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP3 (PPIase FKBP3) (EC 5.2.1.8) (25 kDa FK506-binding protein) (25 kDa FKBP) (FKBP-25) (FK506-binding protein 3) (FKBP-3) (Immunophilin FKBP25) (Rapamycin-selective 25 kDa immunophilin) (Rotamase)	FKBP3 FKBP25	Homo sapiens (Human)	224
Fkbp8	Q14318	FKBP8_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	FKBP8 FKBP38	Homo sapiens (Human)	412
Fry	Q5TBA9	FRY_HUMAN	reviewed	Protein furry homolog	FRY C13orf14	Homo sapiens (Human)	3013
Gpm6a	P51674	GPM6A_HUMAN	reviewed	Neuronal membrane glycoprotein M6-a (M6a)	GPM6A M6A	Homo sapiens (Human)	278
Hspa13	P48723	HSP13_HUMAN	reviewed	Heat shock 70 kDa protein 13 (Microsomal stress-70 protein ATPase core) (Stress-70 protein chaperone microsome-associated 60 kDa protein)	HSPA13 STCH	Homo sapiens (Human)	471
Irf2bpl	Q9H1B7	I2BPL_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase IRF2BPL (EC 2.3.2.27) (Enhanced at puberty protein 1) (Interferon regulatory factor 2-binding protein-like)	IRF2BPL C14orf4 EAP1 KIAA1865 My039	Homo sapiens (Human)	796
Idh3a	P50213	IDH3A_HUMAN	reviewed	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)	IDH3A	Homo sapiens (Human)	366
Igsf10	Q6WRI0	IGS10_HUMAN	reviewed	Immunoglobulin superfamily member 10 (IgSF10) (Calvaria mechanical force protein 608) (CMF608)	IGSF10 CMF608	Homo sapiens (Human)	2623
Krt79	Q5XKE5	K2C79_HUMAN	reviewed	Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-6-like) (Keratin-6L) (Keratin-79) (K79) (Type-II keratin Kb38)	KRT79 K6L KB38 KRT6L	Homo sapiens (Human)	535
Kcna1	Q09470	KCNA1_HUMAN	reviewed	Potassium voltage-gated channel subfamily A member 1 (Voltage-gated K(+) channel HuKI) (Voltage-gated potassium channel HBK1) (Voltage-gated potassium channel subunit Kv1.1)	KCNA1	Homo sapiens (Human)	495
Kif21a	Q7Z4S6	KI21A_HUMAN	reviewed	Kinesin-like protein KIF21A (Kinesin-like protein KIF2) (Renal carcinoma antigen NY-REN-62)	KIF21A KIAA1708 KIF2	Homo sapiens (Human)	1674
Kif5a	Q12840	KIF5A_HUMAN	reviewed	Kinesin heavy chain isoform 5A (Kinesin heavy chain neuron-specific 1) (Neuronal kinesin heavy chain) (NKHC)	KIF5A NKHC1	Homo sapiens (Human)	1032
Larp1	Q6PKG0	LARP1_HUMAN	reviewed	La-related protein 1 (La ribonucleoprotein domain family member 1)	LARP1 KIAA0731 LARP	Homo sapiens (Human)	1096
Slc7a8	Q9UHI5	LAT2_HUMAN	reviewed	Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (hLAT2) (Solute carrier family 7 member 8)	SLC7A8 LAT2	Homo sapiens (Human)	535
Limch1	Q9UPQ0	LIMC1_HUMAN	reviewed	LIM and calponin homology domains-containing protein 1	LIMCH1 KIAA1102	Homo sapiens (Human)	1083
Lpcat4	Q643R3	LPCT4_HUMAN	reviewed	Lysophospholipid acyltransferase LPCAT4 (1-acylglycerol-3-phosphate O-acyltransferase 7) (1-AGP acyltransferase 7) (1-AGPAT 7) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (1-alkenylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.121) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 3) (Lysophosphatidylcholine acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase 2) (EC 2.3.1.n7) (Plasmalogen synthase)	LPCAT4 AGPAT7 AYTL3 LPEAT2	Homo sapiens (Human)	524
Lpcat4	Q6ZWT7	MBOA2_HUMAN	reviewed	Lysophospholipid acyltransferase 2 (LPLAT 2) (EC 2.3.1.-) (1-acylglycerophosphate O-acyltransferase MBOAT2) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase MBOAT2) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine MBOAT2 O-acyltransferase) (EC 2.3.1.n7) (Lysophosphatidic acid acyltransferase) (LPAAT) (Lyso-PA acyltransferase) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lyso-PC acyltransferase) (Lysophosphatidylcholine acyltransferase 4) (Lyso-PC acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lyso-PE acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 2) (O-acyltransferase domain-containing protein 2)	MBOAT2 LPCAT4 OACT2	Homo sapiens (Human)	520
Map7d1	Q3KQU3	MA7D1_HUMAN	reviewed	MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1)	MAP7D1 KIAA1187 PARCC1 RPRC1 PP2464	Homo sapiens (Human)	841
Marcks	P29966	MARCS_HUMAN	reviewed	Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)	MARCKS MACS PRKCSL	Homo sapiens (Human)	332
Mark1	Q9P0L2	MARK1_HUMAN	reviewed	Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)	MARK1 KIAA1477 MARK	Homo sapiens (Human)	795
Mccc2	Q9HCC0	MCCB_HUMAN	reviewed	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (MCCase subunit beta) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)	MCCC2 MCCB	Homo sapiens (Human)	563
Micu3	Q86XE3	MICU3_HUMAN	reviewed	Calcium uptake protein 3, mitochondrial (EF-hand domain-containing family member A2)	MICU3 EFHA2	Homo sapiens (Human)	530
Mpi	P34949	MPI_HUMAN	reviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	MPI PMI1	Homo sapiens (Human)	423
Mta1	Q13330	MTA1_HUMAN	reviewed	Metastasis-associated protein MTA1	MTA1	Homo sapiens (Human)	715
Ndufa13	Q9P0J0	NDUAD_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit)	NDUFA13 GRIM19 CDA016 CGI-39	Homo sapiens (Human)	144
Ndufs4	O43181	NDUS4_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	NDUFS4	Homo sapiens (Human)	175
Ndufv3	P56181	NDUV3_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial (Complex I-9kD) (CI-9kD) (NADH-ubiquinone oxidoreductase 9 kDa subunit) (Renal carcinoma antigen NY-REN-4)	NDUFV3	Homo sapiens (Human)	108
Nedd4l	Q96PU5	NED4L_HUMAN	reviewed	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	NEDD4L KIAA0439 NEDL3	Homo sapiens (Human)	975
Cmas	Q8NFW8	NEUA_HUMAN	reviewed	N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) (CMP-N-acetylneuraminic acid synthase) (CMP-NeuNAc synthase)	CMAS	Homo sapiens (Human)	434
Slc9a3r1	O14745	NHRF1_HUMAN	reviewed	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	SLC9A3R1 NHERF NHERF1	Homo sapiens (Human)	358
Nrbp1	Q9UHY1	NRBP_HUMAN	reviewed	Nuclear receptor-binding protein	NRBP1 BCON3 NRBP	Homo sapiens (Human)	535
Nrn1	Q9NPD7	NRN1_HUMAN	reviewed	Neuritin	NRN1 NRN	Homo sapiens (Human)	142
Dbt	P11182	ODB2_HUMAN	reviewed	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (52 kDa mitochondrial autoantigen of primary biliary cirrhosis) (Branched chain 2-oxo-acid dehydrogenase complex component E2) (BCOADC-E2) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)	DBT BCATE2	Homo sapiens (Human)	482
Pfdn2	Q9UHV9	PFD2_HUMAN	reviewed	Prefoldin subunit 2	PFDN2 PFD2 HSPC231	Homo sapiens (Human)	154
Pfkp	Q01813	PFKAP_HUMAN	reviewed	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)	PFKP PFKF	Homo sapiens (Human)	784
Plaa	Q9Y263	PLAP_HUMAN	reviewed	Phospholipase A-2-activating protein (PLA2P) (PLAP)	PLAA PLAP	Homo sapiens (Human)	795
Agpat1	Q99943	PLCA_HUMAN	reviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 1) (1-AGP acyltransferase 1) (1-AGPAT 1) (Lysophosphatidic acid acyltransferase alpha) (LPAAT-alpha) (Protein G15)	AGPAT1 G15	Homo sapiens (Human)	283
Ppp1r1b	Q9UD71	PPR1B_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 1B (DARPP-32) (Dopamine- and cAMP-regulated neuronal phosphoprotein)	PPP1R1B DARPP32	Homo sapiens (Human)	204
Psmb4	P28070	PSB4_HUMAN	reviewed	Proteasome subunit beta type-4 (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)	PSMB4 PROS26	Homo sapiens (Human)	264
Psip1	O75475	PSIP1_HUMAN	reviewed	PC4 and SFRS1-interacting protein (CLL-associated antigen KW-7) (Dense fine speckles 70 kDa protein) (DFS 70) (Lens epithelium-derived growth factor) (Transcriptional coactivator p75/p52)	PSIP1 DFS70 LEDGF PSIP2	Homo sapiens (Human)	530
Pura	Q00577	PURA_HUMAN	reviewed	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	PURA PUR1	Homo sapiens (Human)	322
Rdh11	Q8TC12	RDH11_HUMAN	reviewed	Retinol dehydrogenase 11 (EC 1.1.1.300) (Androgen-regulated short-chain dehydrogenase/reductase 1) (HCV core-binding protein HCBP12) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1) (RalR1) (Short chain dehydrogenase/reductase family 7C member 1)	RDH11 ARSDR1 PSDR1 SDR7C1 CGI-82	Homo sapiens (Human)	318
Rbp1	O95153	RIMB1_HUMAN	reviewed	Peripheral-type benzodiazepine receptor-associated protein 1 (PRAX-1) (Peripheral benzodiazepine receptor-interacting protein) (PBR-IP) (RIMS-binding protein 1) (RIM-BP1) (TSPO-associated protein 1)	TSPOAP1 BZRAP1 KIAA0612 RBP1 RIMBP1	Homo sapiens (Human)	1857
Rbp1	P09455	RET1_HUMAN	reviewed	Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I)	RBP1 CRBP1	Homo sapiens (Human)	135
Rbp1	P29374	ARI4A_HUMAN	reviewed	AT-rich interactive domain-containing protein 4A (ARID domain-containing protein 4A) (Retinoblastoma-binding protein 1) (RBBP-1)	ARID4A RBBP1 RBP1	Homo sapiens (Human)	1257
Rnh1	O60930	RNH1_HUMAN	reviewed	Ribonuclease H1 (RNase H1) (EC 3.1.26.4) (Ribonuclease H type II)	RNASEH1 RNH1	Homo sapiens (Human)	286
Rnh1	P13489	RINI_HUMAN	reviewed	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)	RNH1 PRI RNH	Homo sapiens (Human)	461
Rpl29	P47914	RL29_HUMAN	reviewed	60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)	RPL29	Homo sapiens (Human)	159
Mrpl12	P52815	RM12_HUMAN	reviewed	39S ribosomal protein L12, mitochondrial (L12mt) (MRP-L12) (5c5-2) (Mitochondrial large ribosomal subunit protein bL12m)	MRPL12 MRPL7 RPML12	Homo sapiens (Human)	198
Rnf214	Q8ND24	RN214_HUMAN	reviewed	RING finger protein 214	RNF214	Homo sapiens (Human)	703
Rps6	P62753	RS6_HUMAN	reviewed	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	249
Slc13a3	Q8WWT9	S13A3_HUMAN	reviewed	Solute carrier family 13 member 3 (Na(+)/dicarboxylate cotransporter 3) (NaDC-3) (hNaDC3) (Sodium-dependent high-affinity dicarboxylate transporter 2)	SLC13A3 NADC3 SDCT2	Homo sapiens (Human)	602
Slc4a8	Q2Y0W8	S4A8_HUMAN	reviewed	Electroneutral sodium bicarbonate exchanger 1 (Electroneutral Na(+)-driven Cl-HCO3 exchanger) (Solute carrier family 4 member 8) (k-NBC3)	SLC4A8 KIAA0739 NBC NBC3 NDCBE1	Homo sapiens (Human)	1093
Sec11a	P67812	SC11A_HUMAN	reviewed	Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18)	SEC11A SEC11L1 SPC18 SPCS4A	Homo sapiens (Human)	179
Scamp1	O15126	SCAM1_HUMAN	reviewed	Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1)	SCAMP1 SCAMP	Homo sapiens (Human)	338
Chgb	P05060	SCG1_HUMAN	reviewed	Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: PE-11; GAWK peptide; CCB peptide]	CHGB SCG1	Homo sapiens (Human)	677
Slc25a25	Q6KCM7	SCMC2_HUMAN	reviewed	Calcium-binding mitochondrial carrier protein SCaMC-2 (Mitochondrial ATP-Mg/Pi carrier protein 3) (Mitochondrial Ca(2+)-dependent solute carrier protein 3) (Small calcium-binding mitochondrial carrier protein 2) (Solute carrier family 25 member 25)	SLC25A25 APC3 KIAA1896 MCSC3 SCAMC2 UNQ549/PRO1106	Homo sapiens (Human)	469
Psat1	Q9Y617	SERC_HUMAN	reviewed	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	PSAT1 PSA	Homo sapiens (Human)	370
Sgip1	Q9BQI5	SGIP1_HUMAN	reviewed	SH3-containing GRB2-like protein 3-interacting protein 1 (Endophilin-3-interacting protein)	SGIP1	Homo sapiens (Human)	828
Skp1	P63208	SKP1_HUMAN	reviewed	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	163
Smap1	Q8IYB5	SMAP1_HUMAN	reviewed	Stromal membrane-associated protein 1	SMAP1	Homo sapiens (Human)	467
Smap1	Q9H3U1	UN45A_HUMAN	reviewed	Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1)	UNC45A SMAP1	Homo sapiens (Human)	944
Sra1	Q9H7N4	SFR19_HUMAN	reviewed	Splicing factor, arginine/serine-rich 19 (SR-related C-terminal domain-associated factor 1) (SR-related and CTD-associated factor 1) (SR-related-CTD-associated factor) (SCAF) (Serine arginine-rich pre-mRNA splicing factor SR-A1) (SR-A1)	SCAF1 SFRS19 SRA1	Homo sapiens (Human)	1312
Sra1	Q9HD15	SRA1_HUMAN	reviewed	Steroid receptor RNA activator 1 (Steroid receptor RNA activator protein) (SRAP)	SRA1 PP7684	Homo sapiens (Human)	236
Srgap2	O75044	SRGP2_HUMAN	reviewed	SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2) (Formin-binding protein 2) (Rho GTPase-activating protein 34)	SRGAP2 ARHGAP34 FNBP2 KIAA0456 SRGAP2A	Homo sapiens (Human)	1071
Sult4a1	Q9BR01	ST4A1_HUMAN	reviewed	Sulfotransferase 4A1 (ST4A1) (EC 2.8.2.-) (Brain sulfotransferase-like protein) (hBR-STL) (hBR-STL-1) (Nervous system sulfotransferase) (NST)	SULT4A1 SULTX3	Homo sapiens (Human)	284
Stat6	P42226	STAT6_HUMAN	reviewed	Signal transducer and activator of transcription 6 (IL-4 Stat)	STAT6	Homo sapiens (Human)	847
Stxbp6	Q8NFX7	STXB6_HUMAN	reviewed	Syntaxin-binding protein 6 (Amisyn)	STXBP6 HSPC156	Homo sapiens (Human)	210
Suox	P51687	SUOX_HUMAN	reviewed	Sulfite oxidase, mitochondrial (EC 1.8.3.1)	SUOX	Homo sapiens (Human)	545
Sv2a	Q7L0J3	SV2A_HUMAN	reviewed	Synaptic vesicle glycoprotein 2A	SV2A KIAA0736 PSEC0174	Homo sapiens (Human)	742
Lars	Q9P2J5	SYLC_HUMAN	reviewed	Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	LARS1 KIAA1352 LARS	Homo sapiens (Human)	1176
Mapt	P10636	TAU_HUMAN	reviewed	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	MAPT MAPTL MTBT1 TAU	Homo sapiens (Human)	758
Tom1l2	Q6ZVM7	TM1L2_HUMAN	reviewed	TOM1-like protein 2 (Target of Myb-like protein 2)	TOM1L2	Homo sapiens (Human)	507
Tnik	Q9UKE5	TNIK_HUMAN	reviewed	TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)	TNIK KIAA0551	Homo sapiens (Human)	1360
Tomm20	Q15388	TOM20_HUMAN	reviewed	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	TOMM20 KIAA0016	Homo sapiens (Human)	145
Tomm7	Q9P0U1	TOM7_HUMAN	reviewed	Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog)	TOMM7 TOM7 TOMM07 AD-014	Homo sapiens (Human)	55
Trappc5	Q8IUR0	TPPC5_HUMAN	reviewed	Trafficking protein particle complex subunit 5	TRAPPC5	Homo sapiens (Human)	188
Txnrd2	Q9NNW7	TRXR2_HUMAN	reviewed	Thioredoxin reductase 2, mitochondrial (EC 1.8.1.9) (Selenoprotein Z) (SelZ) (TR-beta) (Thioredoxin reductase TR3)	TXNRD2 KIAA1652 TRXR2	Homo sapiens (Human)	524
Ubqln1	Q9UMX0	UBQL1_HUMAN	reviewed	Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)	UBQLN1 DA41 PLIC1	Homo sapiens (Human)	589
Uqcrfs1	P47985	UCRI_HUMAN	reviewed	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (UQCRFS1 mitochondrial targeting sequence) (UQCRFS1 MTS) (Ubiquinol-cytochrome c reductase 8 kDa protein)]	UQCRFS1	Homo sapiens (Human)	274
Usp9x	Q93008	USP9X_HUMAN	reviewed	Probable ubiquitin carboxyl-terminal hydrolase FAF-X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)	USP9X DFFRX FAM USP9	Homo sapiens (Human)	2554
Vapa	Q9P0L0	VAPA_HUMAN	reviewed	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)	VAPA VAP33	Homo sapiens (Human)	249
Vat1l	Q9HCJ6	VAT1L_HUMAN	reviewed	Synaptic vesicle membrane protein VAT-1 homolog-like (EC 1.-.-.-)	VAT1L KIAA1576	Homo sapiens (Human)	419
Atp6v1g1	O75348	VATG1_HUMAN	reviewed	V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16)	ATP6V1G1 ATP6G ATP6G1 ATP6J	Homo sapiens (Human)	118
Atp6v1h	Q9UI12	VATH_HUMAN	reviewed	V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD)	ATP6V1H CGI-11	Homo sapiens (Human)	483
Vdac1	P21796	VDAC1_HUMAN	reviewed	Voltage-dependent anion-selective channel protein 1 (VDAC-1) (hVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM)	VDAC1 VDAC	Homo sapiens (Human)	283
Vcl	P18206	VINC_HUMAN	reviewed	Vinculin (Metavinculin) (MV)	VCL	Homo sapiens (Human)	1134
B4galnt4	Q76KP1	B4GN4_HUMAN	reviewed	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 (NGalNAc-T1) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase IV) (Beta4GalNAc-T4) (Beta4GalNAcT4)	B4GALNT4	Homo sapiens (Human)	1039
Bsn	Q9UPA5	BSN_HUMAN	reviewed	Protein bassoon (Zinc finger protein 231)	BSN KIAA0434 ZNF231	Homo sapiens (Human)	3926
Cadps	Q9ULU8	CAPS1_HUMAN	reviewed	Calcium-dependent secretion activator 1 (Calcium-dependent activator protein for secretion 1) (CAPS-1)	CADPS CAPS CAPS1 KIAA1121	Homo sapiens (Human)	1353
